id,username,created_at,lng,lat,text
1517684592815316992,hoops33man,Sat Apr 23 01:59:38 +0000 2022,-71.4440805,42.971199,@KyleCaron88 @SethAGinger @johnrich He did not say kids should know no details about them. He said no details about… https://t.co/r6iSVrL46w
1517684593159282693,DevonTalton,Sat Apr 23 01:59:38 +0000 2022,-82.74685099999999,28.085863500000002,if trae young drops his nuts &amp; acts like the superstar he is the hawks can come back
1517684593977081856,amanduhh_sos,Sat Apr 23 01:59:39 +0000 2022,-72.757385,41.500753,Today was a great day.
1517684593062776833,TeflonRhino,Sat Apr 23 01:59:38 +0000 2022,-71.4218325,41.817084,"Rhode Island Comic Con, Providence Bruins Event. Brings me great joy doing these events. Mostly for the kids. https://t.co/iWpD4AqYUo"
1517684595017277440,RebMattATL,Sat Apr 23 01:59:39 +0000 2022,-83.1738665,32.6782075,::ball hit down the right field line::Chip: Lined into right center…
1517684595180941314,MyTampaAgent,Sat Apr 23 01:59:39 +0000 2022,-82.61342,28.062050999999997,@Chris_Smth Maybe your child? 🤷‍♂️ Congrats on the book. Looking forward to the webinar next week.
1517684595885436929,rubycarrion_,Sat Apr 23 01:59:39 +0000 2022,-73.977771,40.761077,"To my Happily Ever After, Happy Birthday! 🎂🎉 Te amo mucho!!!😘😘😘 @ Fogo de Chão https://t.co/z3R4JkACa9"
1517684596242014208,pammyjill13,Sat Apr 23 01:59:39 +0000 2022,-82.53435400000001,28.4838475,@Artoria98 @Quicktake Swine. Butcher. Goat f*cker
1517684599928860672,RonnieB1219,Sat Apr 23 01:59:40 +0000 2022,-75.77004099999999,42.746617,"Ari Gold...Easily a top 5 character of any show I've ever watched.""Silence is fucking golden"" #Entourage"
1517684600813801473,thickboi94,Sat Apr 23 01:59:40 +0000 2022,-83.804475,27.698681999999998,Big love on you bro!!
1517684599828135942,shondon_69,Sat Apr 23 01:59:40 +0000 2022,-83.574671,41.65659049999999,you already know what it is @RonnieFarris https://t.co/1Z1t7LJhGa
1517684601061261315,smileeBWR,Sat Apr 23 01:59:40 +0000 2022,-87.732013,41.8335845,Yea naw i can't stand Lacey Evans. Her story ain't shit but because she's a yt we suppose to cry tears and care. Na… https://t.co/TAjAqbu7zc
1517684607201783813,elijahsarkesian,Sat Apr 23 01:59:42 +0000 2022,-84.3064885,33.9430725,"Sonic 3 with Nicole Byer? Make this happen, Paramount and Sega!"
1517684607872913411,Chocolate_9090,Sat Apr 23 01:59:42 +0000 2022,-83.2914245,42.6516675,I Have no friends in a close circle I can call when things get bad .
1517684608388718592,NancyLameOwl,Sat Apr 23 01:59:42 +0000 2022,-77.46903499999999,38.333687,@deirdrebeth Thank you. I do take it as a vote of confidence that my coworkers look to me for advice. It can be h… https://t.co/0QwgpTAc80
1517684608036478976,cosmicxxxbunny,Sat Apr 23 01:59:42 +0000 2022,-81.7332615,28.538169500000002,"My man has the sexiest fucking hands and arms I've ever seen on a person. Holy hell, I am dying rn. https://t.co/Xy6KNekA5q"
1517684612222394368,DamnPOPS,Sat Apr 23 01:59:43 +0000 2022,-73.9487755,40.655138,"@_heyyymscarter 😭😭 how was the experience though,  it could've been totally different"
1517684612381790208,_jamesclark3_,Sat Apr 23 01:59:43 +0000 2022,-80.18183450000001,38.9201425,Thanks my man!
1517684613019275265,TarikWoods1,Sat Apr 23 01:59:43 +0000 2022,-78.8954405,35.9909825,Get out and vote!
1517684614780833795,KyilanThomas1,Sat Apr 23 01:59:44 +0000 2022,-84.23551699999999,32.076718,One thing bout me: ima spoil you.
1517684615623884803,mbalsamo,Sat Apr 23 01:59:44 +0000 2022,-74.14200650000001,39.9248925,@DieselCane22 @MrBill11 At 22 probably would've done the same thing
1517684615544254465,training_phenom,Sat Apr 23 01:59:44 +0000 2022,-83.3997795,33.9563835,Awesome niece!!
1517684616676712448,yudeckiel,Sat Apr 23 01:59:44 +0000 2022,-74.020239,40.8539175,@dunkindonuts why is she still hustling for me?
1517684617221914628,JakeC216,Sat Apr 23 01:59:44 +0000 2022,-81.84886,41.470205,@ghosttwist Said u stole weed?
1517684617654026240,Ethan33752203,Sat Apr 23 01:59:44 +0000 2022,-86.560057,30.789741,After maxing out this week at a 166 body weight I hit a 225 bench 225 clean and a 365 deadlift
1517684618031419392,jozifbadmon_1,Sat Apr 23 01:59:44 +0000 2022,-84.266174,30.476215500000002,"people saying the Celtics got better, but so has Kyrie and KD🤣🤷🏾‍♂️"
1517684619663060992,Edel_PLopez,Sat Apr 23 01:59:45 +0000 2022,-71.3410585,46.855857,@DavePalmerUSask I know! I’ve been there too 😅
1517684620824821763,DreamWeaver5166,Sat Apr 23 01:59:45 +0000 2022,-84.200366,39.78035800000001,"I feel the same, but his party and voters ARE fairly judgemental."
1517684621038833665,shoefetishist72,Sat Apr 23 01:59:45 +0000 2022,-77.49317049999999,37.529883,@JustinLaboy @215Keen No you don't. Don't you watch ID? Crimes of passion are real. It's gonna be some slow singing… https://t.co/5zFfX7bJN8
1517684621118476288,KeviTesfaye,Sat Apr 23 01:59:45 +0000 2022,-76.593943,24.074967,My reverse harem
1517684621714067457,Wooten753173691,Sat Apr 23 01:59:45 +0000 2022,-83.641199,32.58263,"@washingtonpost Don't depend on your salary only, you can start making up $10,000 every 48 hours with your cellphon… https://t.co/mLFAjAgOdJ"
1517684622167101440,William08914614,Sat Apr 23 01:59:45 +0000 2022,-73.9685415,40.780709,Today memory’s🥳 https://t.co/3cXMCkiTgt
1517684622779465729,nathanmooreside,Sat Apr 23 01:59:45 +0000 2022,-71.5425615,43.2275695,@Dlennon2 @galyyyj14 🤣🤣🤣 I do love Story
1517684623039467520,_meh_ll,Sat Apr 23 01:59:46 +0000 2022,-77.58070799999999,37.465169,I want my tint now
1517684624482263041,_mattywood_,Sat Apr 23 01:59:46 +0000 2022,-87.732013,41.8335845,@RobSilver 😂 good observation
1517684626193534977,smontifiore,Sat Apr 23 01:59:46 +0000 2022,-80.13296249999999,25.816965500000002,@RSBNetwork @RepMTG Are you watching pro wrestling
1517684626344587268,bevlogsbe,Sat Apr 23 01:59:46 +0000 2022,-73.9487755,40.655138,Ain’t that usually how it goes 🤷🏽‍♀️
1517684627485466626,BenMoore247,Sat Apr 23 01:59:47 +0000 2022,-84.46133850000001,33.452588,OO got fouled too...
1517684627531608066,bizerbizerrides,Sat Apr 23 01:59:47 +0000 2022,-68.98470499999999,45.188407,Fucking brilliant
1517684628039127040,leodanis13,Sat Apr 23 01:59:47 +0000 2022,-75.77004099999999,42.746617,Just in case I miss you 😘 my cuba 🇨🇺 https://t.co/BA9ne54oqp
